Image,Annotation,Mean_GFAP_Intensity,Mean_DAPI_Intensity,GFAP_DAPI_Ratio,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_08-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2669.8203,817.1623,3.267185,0.336,2026-07-06 20:29:41
2026_05_25__RecognizedCode_08-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2602.4092,921.4917,2.824127,0.3701,2026-07-06 20:30:00
2026_05_25__RecognizedCode_08-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2652.5768,1120.9387,2.366389,0.3776,2026-07-06 20:30:12
2026_05_25__RecognizedCode_08-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2969.3897,1265.3844,2.346631,0.362,2026-07-06 20:30:21
2026_05_25__RecognizedCode_08-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2361.2226,906.9136,2.603581,0.9157,2026-07-06 20:30:38
2026_05_25__RecognizedCode_08-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2392.2054,737.9728,3.241590,1.3433,2026-07-06 20:31:01
2026_05_25__RecognizedCode_08-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2636.6588,926.3224,2.846373,0.4012,2026-07-06 20:31:31
2026_05_25__RecognizedCode_08-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2471.0314,1001.2695,2.467898,0.4087,2026-07-06 20:31:46
2026_05_25__RecognizedCode_08-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2430.1315,919.5816,2.642649,0.4699,2026-07-06 20:32:01
2026_05_25__RecognizedCode_08-Scene-14-ScanRegion13_maxproj_4ch.ome.tiff,DG,2268.9727,640.5592,3.542175,0.4645,2026-07-06 20:32:20
2026_05_25__RecognizedCode_08-Scene-15-ScanRegion14_maxproj_4ch.ome.tiff,DG,2647.3467,912.0889,2.902509,0.3627,2026-07-06 20:32:40
2026_05_25__RecognizedCode_08-Scene-16-ScanRegion15_maxproj_4ch.ome.tiff,DG,2717.3790,958.2762,2.835695,0.3496,2026-07-06 20:32:57
2026_05_25__RecognizedCode_09-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,4300.8881,1050.0817,4.095765,0.3166,2026-07-06 20:33:09
2026_05_25__RecognizedCode_09-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2853.1842,346.7691,8.227907,0.7681,2026-07-06 20:33:22
2026_05_25__RecognizedCode_09-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,4611.7733,1098.2805,4.199085,0.3592,2026-07-06 20:33:56
2026_05_25__RecognizedCode_09-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,651.0194,645.8258,1.008042,0.7023,2026-07-06 20:34:06
2026_05_25__RecognizedCode_09-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,D,4305.9081,1143.7320,3.764788,0.3999,2026-07-06 20:34:21
2026_05_25__RecognizedCode_09-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,4596.0483,951.5574,4.830027,0.2941,2026-07-06 20:34:33
2026_05_25__RecognizedCode_09-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,3602.6297,707.3849,5.092884,0.4505,2026-07-06 20:34:40
2026_05_25__RecognizedCode_09-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,4158.4268,908.0913,4.579305,0.5431,2026-07-06 20:34:58
2026_05_25__RecognizedCode_10-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1780.8943,1040.2533,1.711981,0.4481,2026-07-06 20:35:08
