Image,Annotation,Mean_GFAP_Intensity,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_08-Scene-15-ScanRegion14_maxproj_4ch.ome.tiff,DG,2647.3467,0.3627,2026-06-30 22:28:26
2026_05_25__RecognizedCode_08-Scene-16-ScanRegion15_maxproj_4ch.ome.tiff,DG,2717.3790,0.3496,2026-06-30 22:28:43
2026_05_25__RecognizedCode_09-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,4300.8881,0.3166,2026-06-30 22:28:54
2026_05_25__RecognizedCode_09-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2853.1842,0.7681,2026-06-30 22:29:08
2026_05_25__RecognizedCode_09-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,4611.7733,0.3592,2026-06-30 22:29:30
2026_05_25__RecognizedCode_09-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,651.0194,0.7023,2026-06-30 22:29:39
2026_05_25__RecognizedCode_09-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,D,4305.9081,0.3999,2026-06-30 22:29:56
2026_05_25__RecognizedCode_09-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,4596.0483,0.2941,2026-06-30 22:30:11
2026_05_25__RecognizedCode_09-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,3602.6297,0.4505,2026-06-30 22:30:18
2026_05_25__RecognizedCode_09-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,4158.4268,0.5431,2026-06-30 22:30:45
2026_05_25__RecognizedCode_10-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1780.8943,0.4481,2026-06-30 22:31:01
2026_05_25__RecognizedCode_10-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1615.6644,0.377,2026-06-30 22:31:14
2026_05_25__RecognizedCode_10-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1307.3223,0.6255,2026-06-30 22:31:22
2026_05_25__RecognizedCode_10-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1427.2419,0.3021,2026-06-30 22:31:39
2026_05_25__RecognizedCode_10-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,1827.8049,0.4127,2026-06-30 22:31:46
2026_05_25__RecognizedCode_10-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1988.2960,0.3622,2026-06-30 22:31:55
2026_05_25__RecognizedCode_10-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1749.9462,0.3589,2026-06-30 22:32:03
2026_05_25__RecognizedCode_10-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1617.2714,0.4683,2026-06-30 22:32:13
2026_05_25__RecognizedCode_10-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1688.9965,0.4108,2026-06-30 22:32:26
2026_05_25__RecognizedCode_10-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1754.1605,0.4053,2026-06-30 22:32:36
2026_05_25__RecognizedCode_10-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2059.4345,0.3984,2026-06-30 22:32:57
2026_05_25__RecognizedCode_11-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2066.4076,0.3229,2026-06-30 22:33:10
2026_05_25__RecognizedCode_11-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2459.3348,0.3174,2026-06-30 22:33:20
2026_05_25__RecognizedCode_11-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1992.5547,0.3666,2026-06-30 22:33:28
2026_05_25__RecognizedCode_11-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2043.6405,0.3787,2026-06-30 22:33:37
2026_05_25__RecognizedCode_11-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2459.4603,0.3303,2026-06-30 22:33:56
