Image,Annotation,Mean_GFAP_Intensity,Background_Intensity,Mean_GFAP_Corrected,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_07-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1939.7334,751.9011,1187.8323,0.4131,2026-07-06 12:44:57
2026_05_25__RecognizedCode_07-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1900.6740,742.7791,1157.8949,0.2777,2026-07-06 12:45:03
2026_05_25__RecognizedCode_07-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,3106.3189,924.3356,2181.9833,0.2604,2026-07-06 12:45:09
2026_05_25__RecognizedCode_07-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1906.9306,826.1677,1080.7629,0.375,2026-07-06 12:45:13
2026_05_25__RecognizedCode_07-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2000.0118,957.1259,1042.8859,0.2625,2026-07-06 12:45:19
2026_05_25__RecognizedCode_07-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1834.3560,787.4423,1046.9136,0.3883,2026-07-06 12:45:24
2026_05_25__RecognizedCode_07-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1887.4658,847.9966,1039.4692,0.4579,2026-07-06 12:45:29
2026_05_25__RecognizedCode_07-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1865.9698,861.0537,1004.9160,0.3167,2026-07-06 12:45:35
2026_05_25__RecognizedCode_07-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2096.5725,979.3405,1117.2320,0.2695,2026-07-06 12:45:41
2026_05_25__RecognizedCode_07-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2009.6733,784.3371,1225.3362,0.3216,2026-07-06 12:45:46
2026_05_25__RecognizedCode_07-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2052.6262,660.1979,1392.4283,0.4751,2026-07-06 12:45:52
2026_05_25__RecognizedCode_07-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2018.7099,850.3729,1168.3370,0.4189,2026-07-06 12:45:58
2026_05_25__RecognizedCode_07-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,1790.9523,669.9234,1121.0289,0.6822,2026-07-06 12:46:05
2026_05_25__RecognizedCode_07-Scene-14-ScanRegion13_maxproj_4ch.ome.tiff,DG,1549.3348,289.6916,1259.6431,0.6376,2026-07-06 12:46:12
2026_05_25__RecognizedCode_07-Scene-15-ScanRegion14_maxproj_4ch.ome.tiff,DG,1876.9815,697.4897,1179.4918,0.9181,2026-07-06 12:46:19
2026_05_25__RecognizedCode_08-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2801.9868,991.5239,1810.4629,0.3472,2026-07-06 12:46:25
2026_05_25__RecognizedCode_08-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2994.5362,1026.9052,1967.6311,0.2809,2026-07-06 12:46:32
2026_05_25__RecognizedCode_08-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2747.6525,770.7101,1976.9425,0.2907,2026-07-06 12:46:38
