Image,Annotation,Astrocyte_Count,Annotation_Area_mm2,Astrocytes_per_mm2
2026_05_25__RecognizedCode_08-Scene-06-ScanRegion5_maxproj,DG,613,0.7773,788.64,2026-06-18 21:24:17
2026_05_25__RecognizedCode_08-Scene-07-ScanRegion6_maxproj,DG,522,0.7931,658.16,2026-06-18 21:24:35
2026_05_25__RecognizedCode_08-Scene-08-ScanRegion7_maxproj,DG,463,0.7604,608.87,2026-06-18 21:24:57
2026_05_25__RecognizedCode_08-Scene-09-ScanRegion8_maxproj,DG,1793,1.9234,932.21,2026-06-18 21:25:24
2026_05_25__RecognizedCode_08-Scene-10-ScanRegion9_maxproj,DG,1733,2.8216,614.20,2026-06-18 21:25:57
2026_05_25__RecognizedCode_08-Scene-11-ScanRegion10_maxproj,DG,555,0.8427,658.58,2026-06-18 21:26:23
2026_05_25__RecognizedCode_08-Scene-12-ScanRegion11_maxproj,DG,578,0.8584,673.36,2026-06-18 21:26:43
2026_05_25__RecognizedCode_08-Scene-13-ScanRegion12_maxproj,DG,758,0.9869,768.03,2026-06-18 21:27:14
2026_05_25__RecognizedCode_08-Scene-14-ScanRegion13_maxproj,DG,629,0.9756,644.72,2026-06-18 21:27:35
2026_05_25__RecognizedCode_08-Scene-15-ScanRegion14_maxproj,DG,586,0.7619,769.15,2026-06-18 21:27:55
2026_05_25__RecognizedCode_08-Scene-16-ScanRegion15_maxproj,DG,629,0.7343,856.55,2026-06-18 21:28:19
2026_05_25__RecognizedCode_09-Scene-01-ScanRegion0_maxproj,DG,612,0.6649,920.43,2026-06-18 21:28:47
2026_05_25__RecognizedCode_09-Scene-02-ScanRegion1_maxproj,DG,1658,1.6132,1027.75,2026-06-18 21:29:25
2026_05_25__RecognizedCode_09-Scene-04-ScanRegion3_maxproj,DG,819,0.7545,1085.46,2026-06-18 21:29:55
2026_05_25__RecognizedCode_09-Scene-05-ScanRegion4_maxproj,DG,1278,1.4751,866.38,2026-06-18 21:30:24
2026_05_25__RecognizedCode_09-Scene-06-ScanRegion5_maxproj,D,884,0.8400,1052.36,2026-06-18 21:30:45
