Image,Annotation,Nestin_Count,Nestin_Density_per_mm2,Nestin_Intensity_Threshold,SGZ_Area_mm2,Timestamp
2026_05_29__RecognizedCode_02-Scene-08-ScanRegion7_maxproj_4ch,SGZ,32,594.80,500.0,0.0538,2026-07-22 13:24:40
2026_05_29__RecognizedCode_02-Scene-09-ScanRegion8_maxproj_4ch,SGZ,21,506.02,500.0,0.0415,2026-07-22 13:24:50
2026_05_29__RecognizedCode_02-Scene-10-ScanRegion9_maxproj_4ch,SGZ,36,433.21,500.0,0.0831,2026-07-22 13:25:03
2026_05_29__RecognizedCode_02-Scene-11-ScanRegion10_maxproj_4ch,SGZ,59,606.37,500.0,0.0973,2026-07-22 13:25:16
2026_05_29__RecognizedCode_02-Scene-12-ScanRegion11_maxproj_4ch,SGZ,22,465.12,500.0,0.0473,2026-07-22 13:25:28
2026_05_29__RecognizedCode_02-Scene-13-ScanRegion12_maxproj_4ch,SGZ,32,426.10,500.0,0.0751,2026-07-22 13:25:43
2026_05_29__RecognizedCode_02-Scene-14-ScanRegion13_maxproj_4ch,SGZ,69,429.91,500.0,0.1605,2026-07-22 13:26:02
2026_05_29__RecognizedCode_03-Scene-01-ScanRegion0_maxproj_4ch,SGZ,58,584.68,500.0,0.0992,2026-07-22 13:26:18
2026_05_29__RecognizedCode_03-Scene-02-ScanRegion1_maxproj_4ch,SGZ,64,813.21,500.0,0.0787,2026-07-22 13:26:32
2026_05_29__RecognizedCode_03-Scene-03-ScanRegion2_maxproj_4ch,SGZ,73,663.03,500.0,0.1101,2026-07-22 13:26:43
2026_05_29__RecognizedCode_03-Scene-04-ScanRegion3_maxproj_4ch,SGZ,32,489.30,500.0,0.0654,2026-07-22 13:26:52
2026_05_29__RecognizedCode_03-Scene-05-ScanRegion4_maxproj_4ch,SGZ,49,616.35,500.0,0.0795,2026-07-22 13:27:03
2026_05_29__RecognizedCode_03-Scene-06-ScanRegion5_maxproj_4ch,SGZ,22,521.33,500.0,0.0422,2026-07-22 13:27:14
2026_05_29__RecognizedCode_03-Scene-07-ScanRegion6_maxproj_4ch,SGZ,26,465.12,500.0,0.0559,2026-07-22 13:27:24
2026_05_29__RecognizedCode_03-Scene-08-ScanRegion7_maxproj_4ch,SGZ,11,325.44,500.0,0.0338,2026-07-22 13:27:33
2026_05_29__RecognizedCode_03-Scene-09-ScanRegion8_maxproj_4ch,SGZ,27,360.96,500.0,0.0748,2026-07-22 13:27:46
2026_05_29__RecognizedCode_03-Scene-10-ScanRegion9_maxproj_4ch,SGZ,27,544.35,500.0,0.0496,2026-07-22 13:27:58
