Image,Annotation,Astrocyte_Count,Annotation_Area_mm2,Astrocytes_per_mm2,Timestamp
2026_05_29__RecognizedCode_10-Scene-11-ScanRegion10,DG,187,1.7544,106.59,2026-06-28 10:28:08
2026_05_29__RecognizedCode_10-Scene-12-ScanRegion11,DG,168,2.1237,79.11,2026-06-28 10:32:01
2026_05_29__RecognizedCode_10-Scene-13-ScanRegion12,DG,203,2.9002,70.00,2026-06-28 10:35:37
2026_05_29__RecognizedCode_11-Scene-01-ScanRegion0,DG,258,3.0834,83.67,2026-06-28 10:39:56
2026_05_29__RecognizedCode_11-Scene-03-ScanRegion2,DG,201,2.5995,77.32,2026-06-28 10:43:52
2026_05_29__RecognizedCode_11-Scene-04-ScanRegion3,DG,126,2.0203,62.37,2026-06-28 10:49:13
2026_05_29__RecognizedCode_11-Scene-05-ScanRegion4,DG,118,1.7274,68.31,2026-06-28 10:52:24
2026_05_29__RecognizedCode_11-Scene-06-ScanRegion5,DG,234,3.0993,75.50,2026-06-28 10:55:31
2026_05_29__RecognizedCode_11-Scene-07-ScanRegion6,DG,214,2.7861,76.81,2026-06-28 10:59:10
2026_05_29__RecognizedCode_11-Scene-08-ScanRegion7,DG,185,1.7823,103.80,2026-06-28 11:02:41
2026_05_29__RecognizedCode_11-Scene-09-ScanRegion8,DG,173,2.2636,76.43,2026-06-28 11:07:26
2026_05_29__RecognizedCode_11-Scene-10-ScanRegion9,DG,128,2.0766,61.64,2026-06-28 11:10:27
2026_05_29__RecognizedCode_11-Scene-11-ScanRegion10,DG,138,2.0915,65.98,2026-06-28 11:12:44
2026_05_29__RecognizedCode_11-Scene-12-ScanRegion11,DG,358,4.3837,81.67,2026-06-28 11:18:39
2026_05_29__RecognizedCode_11-Scene-13-ScanRegion12,DG,298,4.1127,72.46,2026-06-28 11:22:21
2026_05_29__RecognizedCode_11-Scene-14-ScanRegion13,DG,189,2.1287,88.78,2026-06-28 11:25:10
2026_05_29__RecognizedCode_11-Scene-15-ScanRegion14,DG,250,3.4087,73.34,2026-06-28 11:30:15
2026_05_29__RecognizedCode_12-Scene-02-ScanRegion1,DG,240,3.0300,79.21,2026-06-28 11:37:13
2026_05_29__RecognizedCode_12-Scene-03-ScanRegion2,DG,217,2.5626,84.68,2026-06-28 11:41:46
2026_05_29__RecognizedCode_12-Scene-04-ScanRegion3,DG,246,2.1642,113.67,2026-06-28 11:46:47
2026_05_29__RecognizedCode_12-Scene-05-ScanRegion4,DG,168,2.5776,65.18,2026-06-28 11:53:37
2026_05_29__RecognizedCode_12-Scene-06-ScanRegion5,DG,160,2.0768,77.04,2026-06-28 11:57:28
2026_05_29__RecognizedCode_12-Scene-07-ScanRegion6,DG,258,2.2999,112.18,2026-06-28 12:03:20
2026_05_29__RecognizedCode_12-Scene-08-ScanRegion7,DG,143,1.8843,75.89,2026-06-28 12:10:02
2026_05_29__RecognizedCode_12-Scene-09-ScanRegion8,DG,233,2.0195,115.38,2026-06-28 12:15:15
2026_05_29__RecognizedCode_12-Scene-10-ScanRegion9,DG,152,2.3322,65.17,2026-06-28 12:20:06
